business_id,name,rag_text
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,"Name: Tuna Bar. Categories: Sushi Bars, Restaurants, Japanese. City: Philadelphia, PA. Rating: 4.0 stars. Review Count: 245. Popularity in dataset: 2 visits."
ROeacJQwBeh05Rqg7F6TCg,BAP,"Name: BAP. Categories: Korean, Restaurants. City: Philadelphia, PA. Rating: 4.5 stars. Review Count: 205. Popularity in dataset: 1 visits."
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,"Name: Romano's Macaroni Grill. Categories: Restaurants, Italian. City: Reno, NV. Rating: 2.5 stars. Review Count: 339. Popularity in dataset: 3 visits."
QdN72BWoyFypdGJhhI5r7g,Bar One,"Name: Bar One. Categories: Cocktail Bars, Bars, Italian, Nightlife, Restaurants. City: Philadelphia, PA. Rating: 4.0 stars. Review Count: 65. Popularity in dataset: 2 visits."
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,"Name: Ardmore Pizza. Categories: Pizza, Restaurants. City: Ardmore, PA. Rating: 3.5 stars. Review Count: 109. Popularity in dataset: 3 visits."
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,"Name: Craft Hall. Categories: Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants. City: Philadelphia, PA. Rating: 3.5 stars. Review Count: 65. Popularity in dataset: 1 visits."
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,"Name: Tony's Restaurant & 3rd Street Cafe. Categories: Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops. City: Alton, IL. Rating: 3.0 stars. Review Count: 94. Popularity in dataset: 2 visits."
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,"Name: Caviar & Bananas. Categories: Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners. City: Nashville, TN. Rating: 3.5 stars. Review Count: 159. Popularity in dataset: 1 visits."
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,"Name: Lafitte's Landing Seafood House. Categories: Restaurants, Soup, Seafood, Burgers. City: Harvey, LA. Rating: 2.5 stars. Review Count: 38. Popularity in dataset: 1 visits."
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,"Name: Twin Peaks. Categories: Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants. City: Indianapolis, IN. Rating: 3.5 stars. Review Count: 257. Popularity in dataset: 3 visits."
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,"Name: Doc Magrogan's Oyster House - West Chester. Categories: Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs. City: West Chester, PA. Rating: 3.0 stars. Review Count: 114. Popularity in dataset: 2 visits."
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"Name: Helena Avenue Bakery. Categories: Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries. City: Santa Barbara, CA. Rating: 4.0 stars. Review Count: 389. Popularity in dataset: 2 visits."
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,"Name: Copper Vine. Categories: Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces. City: New Orleans, LA. Rating: 4.5 stars. Review Count: 350. Popularity in dataset: 2 visits."
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,"Name: Mike's Ice Cream. Categories: Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food. City: Nashville, TN. Rating: 4.5 stars. Review Count: 593. Popularity in dataset: 7 visits."
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,"Name: Ricardo's Italian Cafe. Categories: American (New), Restaurants, Cafes, Italian, American (Traditional). City: Saint Louis, MO. Rating: 3.5 stars. Review Count: 80. Popularity in dataset: 1 visits."
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,"Name: Crafty Crab. Categories: Seafood, Restaurants. City: Fairview Heights, IL. Rating: 2.5 stars. Review Count: 14. Popularity in dataset: 1 visits."
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,"Name: Mahony's Po-Boys & Seafood. Categories: Restaurants, Seafood, Cajun/Creole. City: New Orleans, LA. Rating: 4.0 stars. Review Count: 382. Popularity in dataset: 1 visits."
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,"Name: Taqueria Los Primos. Categories: Mexican, Restaurants. City: Wilmington, DE. Rating: 4.0 stars. Review Count: 23. Popularity in dataset: 1 visits."
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,"Name: The Pearl. Categories: Restaurants, French, Moroccan, Seafood, Mediterranean. City: Treasure Island, FL. Rating: 4.0 stars. Review Count: 129. Popularity in dataset: 2 visits."
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,"Name: Sunset 44 Bistro. Categories: Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars. City: Saint Louis, MO. Rating: 4.0 stars. Review Count: 73. Popularity in dataset: 1 visits."
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,"Name: Santa Barbara Shellfish Company. Categories: Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife. City: Santa Barbara, CA. Rating: 4.0 stars. Review Count: 2404. Popularity in dataset: 12 visits."
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,"Name: Cerveza Jack's. Categories: Nightlife, Restaurants, Bars, Mexican. City: Nashville, TN. Rating: 4.0 stars. Review Count: 182. Popularity in dataset: 3 visits."
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,"Name: Wendy's. Categories: Burgers, Restaurants, Fast Food. City: Nashville, TN. Rating: 1.5 stars. Review Count: 37. Popularity in dataset: 1 visits."
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,"Name: Gaylord Opryland Resort & Convention Center. Categories: Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas. City: Nashville, TN. Rating: 3.0 stars. Review Count: 1639. Popularity in dataset: 7 visits."
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,"Name: Kinjo's Japanese Restaurant. Categories: Japanese, Sushi Bars, Restaurants. City: Saint Petersburg, FL. Rating: 3.5 stars. Review Count: 17. Popularity in dataset: 1 visits."
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,"Name: Roma Pizza & Italian Eatery. Categories: Pizza, Restaurants. City: Warrington, PA. Rating: 2.5 stars. Review Count: 25. Popularity in dataset: 2 visits."
yM8LlTInbQH4FwWC97lz6w,McDonald's,"Name: McDonald's. Categories: Fast Food, Restaurants, Food, Burgers, Coffee & Tea. City: St. Louis, MO. Rating: 1.5 stars. Review Count: 100. Popularity in dataset: 2 visits."
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,"Name: Bagelicious - King Of Prussia. Categories: Restaurants, Bakeries, Caterers, Bagels, Food, Event Planning & Services. City: King of Prussia, PA. Rating: 3.5 stars. Review Count: 60. Popularity in dataset: 1 visits."
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,"Name: Bub's Cafe. Categories: Restaurants, Breakfast & Brunch. City: Carmel, IN. Rating: 4.0 stars. Review Count: 175. Popularity in dataset: 1 visits."
